,file_id,sarcasm,text,label,emotion,id,duration,mfccs,spectral_centroid,spectral_bandwidth,pitch,energy,loudness
11,7477,0," Oh yeah, I said Rachel's name but it didn't mean anything okay shit",0,anger,12,3.07,"[-603.4719848632812, 105.79579162597656, -0.5745552778244019, 34.45782470703125, 2.084449529647827, 8.33859634399414, -0.44464606046676636, -10.576059341430664, -20.325654983520508, -3.99631667137146, -2.326219081878662, -19.400972366333008, -15.529718399047852]",2759.5976078692393,2439.458442569635,1628.2172,0.00015432025068898267,0.010594155
12,10841,0," Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, right?",0,anger,13,4.48,"[-620.50390625, 109.54318237304688, -18.546255111694336, 17.40794563293457, -0.3579663038253784, -2.316920042037964, -7.656900405883789, -11.577556610107422, -15.289570808410645, -14.095576286315918, -10.575318336486816, -13.360642433166504, -9.885255813598633]",3043.7114767608537,2569.674896723405,1530.5165,8.490252039136723e-05,0.006833882
13,1614,0," We are switching at the next rest stop and you are going to drive the whole way back. That will be your punishment. You... greeting, sleeper.",0,anger,14,7.38,"[-650.5927734375, 85.39297485351562, -18.359899520874023, 15.669325828552246, 0.3464217185974121, 6.839694976806641, -10.061563491821289, -7.6757330894470215, -10.02211856842041, -9.609633445739746, 2.048158645629883, -11.842068672180176, -3.4446115493774414]",3354.842587927407,2851.4968155152055,1587.9773,9.140176773481524e-05,0.0070298146
14,1358,0," Okay, okay, now what is wrong with my snuggles?",0,anger,15,2.82,"[-594.3065185546875, 110.76689147949219, -10.221526145935059, 24.35701560974121, 17.615163803100586, -5.361598014831543, -13.461127281188965, -5.62497091293335, -8.548501014709473, -11.821268081665039, -7.908082008361816, -13.829558372497559, -11.310125350952148]",2960.0857500653283,2428.4289936748814,1692.7882,0.0001499333506419892,0.009315722
15,6330,0," Fine, you want to get the birds? Get the birds!",0,anger,16,1.94,"[-515.391357421875, 133.11509704589844, -23.50144386291504, 24.976673126220703, 1.407435417175293, 3.3693222999572754, -3.005549192428589, -10.829325675964355, -12.289029121398926, -12.778964042663574, -0.0046858107671141624, -2.8049395084381104, -6.637299537658691]",2620.976108125169,2432.6099319567534,1627.091,0.00035830320124678885,0.013730361
16,5103,0, Don't call us that.,0,anger,17,3.4,"[-607.9261474609375, 79.73310852050781, -10.696188926696777, 30.826929092407227, 5.345542907714844, -3.643429756164551, 6.238380432128906, 7.057528972625732, 2.1678221225738525, -3.3958961963653564, 0.5713915228843689, 1.5285265445709229, 0.5148452520370483]",3364.44966547827,3241.8798920182057,1558.0978,0.0002145154071964072,0.009002645
17,2718,0," Damn it, man!",0,anger,18,1.86,"[-465.2076416015625, 151.47914123535156, -54.31814193725586, 14.046407699584961, -12.597416877746582, -2.97605299949646, -12.697664260864258, -4.920377731323242, -6.354441165924072, -9.98465347290039, -2.382202386856079, -0.3410252034664154, 3.1358909606933594]",2564.8997812820694,2636.8096064331376,1595.7823,0.0003299125532054885,0.014780183
18,7674,0," I don't care, the wires have come loose in your head.",0,anger,19,3.94,"[-588.3353881835938, 74.10443115234375, -33.25398635864258, 12.126901626586914, -8.252928733825684, -9.917130470275879, -11.218379974365234, 1.7702058553695679, -9.1095609664917, -14.453010559082031, -3.4993414878845215, -3.3351821899414062, -6.832525253295898]",3720.6547384253086,2869.710471732766,1824.0668,0.00015910115787520987,0.009048348
19,sar_sicily_43,0," Well, then my son's going to fail a science class. And when that happens, I'm suing you first.",0,anger,20,5.013333333333334,"[-575.9402465820312, 73.2594223022461, -39.77913284301758, 31.616718292236328, -13.907485961914062, -1.2624775171279907, -7.972580432891846, -14.690858840942383, -12.539085388183594, 3.866774559020996, 1.7692228555679321, -7.667534351348877, -2.27827787399292]",4668.807976521638,2758.341800668073,1811.7418,0.0005351181994093225,0.014888265
20,sar_sicily_38,0, I've been texting you for hours. WHAT THE HELL?!,0,anger,21,2.8373333333333335,"[-476.0365905761719, 49.68727111816406, -39.568111419677734, 23.79693031311035, -11.411996841430664, 5.917521953582764, -4.640414714813232, -8.978629112243652, 3.424539566040039, -5.180678844451904, 1.9455022811889648, 0.037729326635599136, -3.0812668800354004]",4513.863160752279,3182.8998342009672,2118.0815,0.0025358789397361583,0.03271159
21,2_524,0," My new furniture, yes, and we're very excited about it.",0,anger,22,4.245333333333333,"[-651.4684448242188, 89.83390045166016, -19.799585342407227, 14.98829460144043, 2.45137357711792, 2.3046176433563232, 5.193950653076172, -19.469528198242188, -10.999491691589355, -2.357422113418579, -10.196577072143555, -9.214946746826172, -6.7921624183654785]",4992.045887156048,3801.599134345428,1462.5033,0.0001390382142072946,0.0075385883
22,2_527,0,What you want just here for the company? He's a sad Kaz Mahol extra!,0,anger,23,6.976,"[-608.2103881835938, 51.29104995727539, -21.110170364379883, 18.458179473876953, 0.8091670870780945, -1.105444312095642, -4.723893165588379, -4.361624717712402, -3.5540788173675537, -12.280526161193848, -6.156219005584717, -4.890011310577393, -10.309364318847656]",5714.107062747639,4171.938439778609,1793.3724,0.00038179399770334226,0.011491394
23,sar_sicily_30,0, Are you kidding me? That's in Rick! That's the last straw! I can't believe that I'm sitting here with both of my legs broken! And you're still asking me about getting those seeds?!,0,anger,24,9.045333333333334,"[-548.7593994140625, 27.283002853393555, -35.29994201660156, 29.890544891357422, -20.289426803588867, 6.507671356201172, -7.581761360168457, -19.669267654418945, -7.747229099273682, -6.897505283355713, -4.879601001739502, -9.261229515075684, -1.0441195964813232]",5621.743173780637,3763.37668142154,1938.2648,0.0008037464939198404,0.017675562
24,sar_sicily_26,0," Be quiet for a second, I need to think through all these chunks of moron.",0,anger,25,3.0,"[-481.1568603515625, 92.242431640625, -16.560699462890625, 16.005451202392578, 0.5464385747909546, 8.621122360229492, -9.496074676513672, -4.428470611572266, -2.251298427581787, -2.6114416122436523, -11.972354888916016, -14.708157539367676, -9.963346481323242]",3007.539308484113,2115.8451942226834,1697.6519,0.001233004961424674,0.02677908
25,evelyn_9,0," And do it! I thought I could give the hotel to Mavis and Johnny, but he's going to ruin everything! I have to get out of this! I have to! I... I... I...",0,anger,26,13.397333333333334,"[-655.7412719726562, 70.825927734375, -0.9946065545082092, 14.509636878967285, 7.080230236053467, 3.049299478530884, -7.612104415893555, -17.813159942626953, -9.525474548339844, -8.853540420532227, -13.13388442993164, -9.682137489318848, -8.340214729309082]",3881.8682158337797,3574.5501030580485,1588.8844,6.800471763512131e-05,0.0051599564
26,sar_sicily_10,0," All you broader mind control tic-tacs? A flag pan that unregisters you to vote? Yes, you all brats! You know this can't melt anything!",0,anger,27,8.999977324263039,"[-515.695556640625, 50.849029541015625, -14.590986251831055, 11.873417854309082, -2.34810471534729, -1.3876757621765137, -5.606679439544678, -1.855384111404419, -3.236501693725586, -10.541247367858887, -8.078227043151855, -0.37276536226272583, -0.7737014889717102]",3306.241077527233,2624.538037997542,1745.0118,0.0006241819653765229,0.016069794
27,evelyn_14,0," You idiot, it was our dream! This is ridiculous! We can even get a good night's sleep anymore! Time to take action! Stupid mom and dad, they've never moved us none of this would happen!",0,anger,28,11.925333333333333,"[-761.2882080078125, 46.657257080078125, -24.763126373291016, 29.422391891479492, 16.250234603881836, 11.854782104492188, 4.723847389221191, -2.003298759460449, 1.324488639831543, -13.014684677124023, -10.914690971374512, -1.6504418849945068, -2.5980629920959473]",5117.9276264672635,4189.305902038105,2165.5767,1.4239375701104166e-05,0.002077889
28,sar_sicily_4,0," Hey, you don't know what's he capable of?",0,anger,29,2.0999773242630386,"[-458.0525817871094, 87.64258575439453, -41.85062789916992, 10.865409851074219, -22.269012451171875, -3.541883945465088, -19.743907928466797, -13.817024230957031, -5.183711051940918, 2.408029794692993, -17.64288902282715, -20.2841854095459, 3.197666883468628]",3263.935012338041,2412.981476172702,1854.4656,0.0008352230830644075,0.021983108
29,evelyn_21,0," I'm car-signed, Delusional! Do you know how hard it is to stay positive all the time when all you folks do is complain, complain, complain! Jiminy, mother, love and trust your strutal!",0,anger,30,11.680666666666667,"[-709.7472534179688, 66.87783813476562, -26.976417541503906, 17.804481506347656, -12.68730354309082, -0.2796938121318817, -3.734834671020508, -16.70827865600586, 2.594346046447754, -10.6322021484375, -10.416231155395508, 0.9798893332481384, -4.165740966796875]",4254.039073981712,3485.210520624635,1692.71,2.1600453155946052e-05,0.0032065776
30,6759,0, Whoa! No drinks near the buck!,0,anger,31,2.23,"[-545.6834716796875, 123.49811553955078, -16.529760360717773, 23.734651565551758, 18.85312843322754, -8.214975357055664, -3.6744565963745117, 5.147218704223633, -2.810568332672119, -3.571326732635498, -0.13479867577552795, -2.4880735874176025, 5.785325050354004]",2561.8965736337423,2080.4007036592725,1513.0554,0.00025309346653466894,0.012560165
31,5077,0, That kid kicked me really hard on the pl-,0,anger,32,1.94,"[-541.6866455078125, 104.95289611816406, -29.01027488708496, 27.13545799255371, 2.1842715740203857, 3.3771438598632812, -14.278230667114258, -6.5744853019714355, -6.773317813873291, -12.812533378601074, 4.609259605407715, -3.189338207244873, -2.461622714996338]",2647.256443695022,2287.7043102036746,1916.2446,0.0002199708433102421,0.011400665
32,6709,0," This is not a marriage. This is the world's worst hangover. LAUGHTER Ross, listen, if you do not get this ennormate, I will. B-",0,anger,33,8.490861678004535,"[-618.7879028320312, 102.37734985351562, -29.124624252319336, 7.932066440582275, -10.6733980178833, -9.902947425842285, -11.775931358337402, -8.586462020874023, -6.575223922729492, -13.330873489379883, -0.1274033784866333, 0.9903702735900879, -7.502356052398682]",2905.4646261227576,2397.714983716847,1716.2872,0.00010162385015527377,0.007933561
33,382,0, You kissed another woman?,0,anger,34,2.19,"[-446.3854064941406, 94.20965576171875, -37.88803482055664, 11.47842025756836, -9.048853874206543, -14.303986549377441, -10.732975959777832, -3.0567245483398438, -2.244469165802002, -7.498940944671631, 2.52720046043396, 0.2413979172706604, -8.303544044494629]",2943.1533909664404,2558.259816097098,1902.1757,0.0016287499306348301,0.029639253
34,708,0," Damn it higher the girl. Okay, everybody ready?",0,anger,35,4.61,"[-630.7962646484375, 87.42373657226562, -23.4611759185791, 9.883993148803711, 3.1894588470458984, -0.9391206502914429, -4.9990644454956055, -5.720208168029785, -6.404219627380371, -10.121089935302734, -3.2709012031555176, 1.525858998298645, 0.3039929270744324]",5367.8731101688145,3800.1996232124484,1720.43,0.00019319072440449482,0.008806693
35,1802,0, Where is Colamide? Where the hell have you been?,0,anger,36,3.94,"[-567.9671630859375, 100.88229370117188, -28.4299259185791, 12.220796585083008, -7.863335609436035, -11.49571418762207, -9.081961631774902, -9.446513175964355, -5.729956150054932, -12.08678913116455, -5.749329566955566, 0.9790977239608765, -2.2806522846221924]",3378.581766311947,2429.7312218488687,1705.7102,0.00023983879936363426,0.011461826
36,12108,0," I don't have to answer your questions, okay? I'm a big boy. I can do whatever I want.",0,anger,37,4.78,"[-583.301513671875, 116.21351623535156, -9.430379867553711, 19.63606834411621, -3.751861810684204, -9.088536262512207, -2.197932243347168, -10.946625709533691, -12.959550857543945, -13.089086532592773, -11.7980375289917, -8.29403018951416, -0.39860355854034424]",2558.4824366450594,2247.807642169499,1499.8157,0.00024821835429038737,0.012954514
37,10373,0, They didn't take any of my suggestions,0,anger,38,3.39,"[-478.33331298828125, 99.2272720336914, -42.092647552490234, 21.05200958251953, -3.16534686088562, -4.85952091217041, -13.014934539794922, -11.378151893615723, -6.662260055541992, -9.273608207702637, -1.0623953342437744, -0.5267459154129028, -5.784387588500977]",3516.4394130180094,2698.702371352926,1720.9543,0.0008078829604355109,0.021692544
38,588,0," No, seriously, what's wrong with you?",0,anger,39,2.73,"[-457.6755676269531, 122.62525939941406, -41.97624206542969, 1.3205090761184692, -11.937822341918945, -13.36098861694336, -13.614892959594727, -4.697673320770264, -11.202201843261719, -12.014684677124023, -4.002842903137207, 2.1428322792053223, -1.100785732269287]",2680.2373196294056,1855.440804260529,1670.4036,0.0011993442676812216,0.028903412
39,7492,0, Never! Never!,0,anger,40,2.22,"[-554.21875, 124.69176483154297, -37.04930114746094, -5.073396682739258, -15.973893165588379, -16.71383285522461, -11.417263984680176, 8.331791877746582, -4.240318298339844, -12.323429107666016, 2.0047314167022705, 3.3106448650360107, 2.995213270187378]",2565.03767417106,2521.8829200119253,1795.1404,9.978894171769626e-05,0.0058398074
40,4766,0," They're not rostre just saving them for the important people, okay? What if I was the president?",0,anger,41,4.84,"[-513.060791015625, 79.7449951171875, -13.169087409973145, 20.88239097595215, -14.187183380126953, -2.104506015777588, -10.378467559814453, -11.611894607543945, -8.576841354370117, -9.83448314666748, -11.493165969848633, -7.926724910736084, -14.933350563049316]",3201.7290933781933,2433.396161553577,1716.2494,0.0007938139732759602,0.021815173
41,4363,0, You ordered a stripper for the shower that is totally inappropriate.,0,anger,42,3.32,"[-492.1748352050781, 102.97181701660156, 2.920043468475342, 19.469661712646484, -4.502427577972412, 8.439659118652344, -19.9300479888916, -9.000864028930664, -7.495231628417969, -6.990561485290527, -2.7044944763183594, -4.563498020172119, -7.33912992477417]",3135.462868238445,2350.618782590872,1552.4545,0.0007670224600403901,0.021050438
42,1_1666,0,Would it work if I just punched you in the face?,0,anger,43,2.2613333333333334,"[-684.31982421875, 102.94884490966797, -14.06147289276123, 17.68821144104004, -4.641938209533691, -2.5747323036193848, -7.113650798797607, -4.729380130767822, 2.159407138824463, -10.73330307006836, -9.494388580322266, -1.442893385887146, -1.9082919359207153]",4116.490653913832,3581.209509433287,1819.8303,2.6522893985768535e-05,0.0036314842
43,5094,0, You can't leave me with them. We're we're a team. We're playing the zone. They're gonna triple team me.,0,anger,44,5.03,"[-625.3460693359375, 80.2347412109375, -28.13759994506836, 15.5236177444458, 0.281548410654068, -11.664189338684082, -15.720532417297363, -5.741510391235352, -3.7850751876831055, -14.057465553283691, -6.960061073303223, -10.375223159790039, -3.7548089027404785]",3057.4695364258164,2762.039215947669,1817.8223,0.00011875882619103002,0.008387699
44,evelyn_27,0," Well then, the name means that this... This was all a lie? You didn't want to have any binding time with me. You just didn't want to give me the hotel! No!",0,anger,45,10.517333333333333,"[-627.1185302734375, 58.965782165527344, 1.9075733423233032, 25.723342895507812, 3.0429019927978516, -1.8249776363372803, -8.050116539001465, -15.78717041015625, -8.067611694335938, -9.561095237731934, -12.356159210205078, -9.324705123901367, -7.64245080947876]",4545.287264744933,3715.0201306463046,1500.3025,0.0001424610554325653,0.008110415
45,1386,0, Do you think you can knock up my daughter and then not marry her? I want to kill you!,0,anger,46,6.19,"[-485.4753112792969, 84.44419860839844, -16.135400772094727, 1.1109765768051147, -5.3697710037231445, -7.164212226867676, -6.142512798309326, -5.202191352844238, -6.0911688804626465, -4.117156028747559, -2.663550853729248, 0.32393133640289307, -0.9237658977508545]",3069.6738103878292,2593.100235838837,1588.9728,0.0010457384272304943,0.021954069
46,1_1484,0,deal is that nobody touches food on my plate.,0,anger,47,3.776,"[-680.9223022460938, 88.27820587158203, -18.34848403930664, 30.53822135925293, 17.196266174316406, 3.8187665939331055, -9.439872741699219, -13.784743309020996, 6.735427379608154, -7.134676456451416, -16.50520133972168, -9.84864616394043, -6.665229797363281]",3835.0985358967014,3049.2085405405433,2016.0308,3.240760521026654e-05,0.0043854737
47,2428,0," I am you Monica Geller, hyphen bing.",0,anger,48,2.38,"[-560.3502197265625, 96.86834716796875, -34.73793029785156, 5.603297710418701, -5.571138858795166, -6.675832271575928, -22.051090240478516, -14.934829711914062, -5.439725875854492, -9.740771293640137, -3.5123937129974365, -4.267012596130371, 2.0680606365203857]",3108.193564345532,2763.258207703591,1729.5162,0.00022023768933726763,0.010998844
48,1323,0, Oh my God! Go away! Stop looking in here!,0,anger,49,7.24,"[-644.7073364257812, 75.11945343017578, -14.23364543914795, 3.562129497528076, 1.9987304210662842, -3.279677152633667, -10.418020248413086, -3.2365386486053467, 0.5203454494476318, -5.278947353363037, -0.8291531205177307, -0.7034235000610352, -1.7651528120040894]",3803.6258154417105,3448.7156877721627,1534.6298,0.00016138215829115154,0.008370442
49,2561,0, You know what? I'm not talking to you. You go back to sleep and you are your rapist? No.,0,anger,50,5.53,"[-596.7941284179688, 86.38394927978516, -23.326295852661133, 19.486364364624023, -1.6506325006484985, 5.467947006225586, -11.933370590209961, -5.749806880950928, -4.042308330535889, -13.860024452209473, -0.08678146451711655, -6.340327262878418, -1.4455727338790894]",3736.2414308390485,2890.0665457961322,1649.7328,0.00015252496226843897,0.0091863265
50,7478,0, just a friend that's all.,0,anger,51,1.46,"[-547.5341796875, 102.72123718261719, -15.103861808776855, 38.629390716552734, -19.236173629760742, -10.163656234741211, -9.97416877746582, 2.110790491104126, -20.1015567779541, -8.120963096618652, -7.69936466217041, -17.67268943786621, 1.5458004474639893]",3454.1609019630437,2030.3430548299489,1707.0614,0.00026669495000505373,0.014078404
51,3278,0, I don't have time to convince you because he's only here for four hours and I'm going to go,0,anger,52,3.73,"[-574.4681396484375, 106.72208404541016, -6.494086265563965, 16.78194808959961, -3.171686887741089, 0.8259252905845642, -9.236810684204102, -7.3870849609375, -9.798700332641602, -11.195932388305664, -5.436681747436523, -8.535367012023926, -7.394632816314697]",2735.752019800673,2014.6267745405564,1585.8075,0.00015835483359447547,0.009818126
52,10973,0, It was my idea.,0,anger,53,2.02,"[-504.62921142578125, 125.677490234375, -51.00178527832031, 16.466989517211914, -9.001275062561035, -9.921265602111816, -12.437577247619629, -1.3003090620040894, -2.2472689151763916, -18.809179306030273, 1.2008651494979858, -2.5288100242614746, -7.351691722869873]",2551.1917924293357,2148.1018220441097,1595.9021,0.0002469702591939629,0.013231017
53,4253,0," I asked you to guard the ring. I know, I'm sorry.",0,anger,54,3.07,"[-584.276611328125, 103.33354187011719, -20.387401580810547, 22.806283950805664, 7.525369644165039, -2.8296406269073486, -14.067200660705566, -14.25509262084961, -4.809996604919434, -13.226261138916016, -13.319814682006836, -9.665318489074707, -4.487074375152588]",2191.2012836857734,1795.5424204403148,1733.3501,0.0001864439029484113,0.012000937
54,6096,0," Did you not hear me say, do, who'd?",0,anger,55,2.44,"[-600.7619018554688, 99.41627502441406, -15.937444686889648, 27.41211700439453, 9.055425643920898, 9.006077766418457, -7.93336820602417, -7.407654762268066, 8.362141609191895, -7.739116668701172, -6.761002063751221, -3.4083199501037598, -6.634500026702881]",2397.1017401205127,2531.869916354204,1920.7609,0.000162845712395646,0.0097067505
55,8252,0, It doesn't matter because it is not true.,0,anger,56,3.19,"[-554.5933227539062, 107.99922180175781, -28.752784729003906, 23.114965438842773, -5.513007640838623, -9.330965995788574, -13.3896484375, -7.447780609130859, -8.32878303527832, -12.214681625366211, 3.750861167907715, -6.985344886779785, -5.02941370010376]",3394.4897936077955,2650.1693518804573,1624.9512,0.00033578468715235574,0.013177956
56,1044,0, But this is my home and I want to be able to come and go whenever I want,0,anger,57,3.86,"[-615.19970703125, 130.1991729736328, -5.22635555267334, 17.828502655029297, -0.9594277739524841, -7.908947944641113, -2.362143039703369, -3.1914479732513428, -6.781035423278809, -8.993106842041016, -7.32977294921875, -14.735876083374023, -6.632445812225342]",2115.1743003945176,2221.08996421357,1577.0475,8.51322315387229e-05,0.007317446
57,4841,0," Well, why don't you tell me what you're supposed to be, huh?",0,anger,58,2.98,"[-632.7860107421875, 69.42645263671875, -12.861684799194336, 27.626901626586914, 12.415224075317383, 1.4653923511505127, -7.59037971496582, -3.096909284591675, 1.5510315895080566, -2.5411038398742676, -5.2080159187316895, -6.321547508239746, -2.523233413696289]",5742.688500139712,4015.50038672778,1845.3525,0.00017289908247335522,0.0076471292
58,13335,0," Oh, what are you stupid? It's been three hours. Is that all?",0,anger,59,6.07,"[-618.2399291992188, 86.8880844116211, -21.664548873901367, 3.7506158351898193, -12.606294631958008, -14.08155345916748, -9.390357971191406, -5.753162860870361, -11.595346450805664, -10.913524627685547, -3.5433013439178467, -2.8728840351104736, -1.4127633571624756]",3347.6608886066306,2666.484394555745,1555.4369,0.00011170967156573532,0.0075371237
59,8117,0, What the hell?,0,anger,60,1.9,"[-514.1489868164062, 138.69996643066406, -47.071998596191406, 9.071883201599121, -17.6177978515625, -4.49920129776001, -6.61725378036499, -1.846415638923645, 0.199030801653862, -17.235248565673828, -2.415313243865967, 3.079545259475708, -1.2597789764404297]",2558.400949966266,2654.9757908529796,1735.9984,0.00013781368967200367,0.008620636
60,2770,0," Like, like I did something terrible to you.",0,anger,61,1.92,"[-577.37109375, 133.19683837890625, 1.2366729974746704, 29.848604202270508, 7.02100133895874, 9.317278861999512, -3.20133376121521, -7.95121431350708, -0.09306776523590088, -7.276554107666016, -7.645603179931641, -13.591897010803223, -9.559748649597168]",2110.565160708033,2396.345456754258,1474.8412,0.0001529544839693215,0.009506713
61,2562,0, And you are your rapist? No.,0,anger,62,2.48,"[-574.2841796875, 113.99301147460938, -16.03899383544922, 25.677907943725586, -4.496924877166748, 8.384077072143555, -5.374488830566406, -6.992753505706787, -6.187005043029785, -9.212982177734375, 3.678614854812622, -6.197221279144287, 0.722902238368988]",2928.776790109416,2594.1002429561986,1614.1935,0.00015762793835546546,0.009537602
62,299,0," David's heart will be broken. It'll be too hard for them to recover from and then Phoebe will end up alone again. Man, that's some bad advice.",0,anger,63,9.66,"[-623.9769287109375, 76.63261413574219, -15.427295684814453, 6.722099304199219, 0.9338969588279724, -9.276878356933594, -14.387486457824707, -5.654168128967285, -7.607453346252441, -10.653826713562012, -2.2439653873443604, -4.3476715087890625, -3.617462635040283]",3642.4571697084493,3171.585149459626,1768.9092,0.0001382260979768514,0.0077701355
63,11449,0," Oh, oh, oh, I respectfully disagree.",0,anger,64,2.52,"[-552.7460327148438, 121.63275909423828, -20.20781135559082, 26.28860092163086, 8.691709518432617, -0.09408765286207199, -15.268939971923828, -7.926826477050781, -6.877871990203857, -2.8990981578826904, -3.0324556827545166, -10.200284957885742, -8.950027465820312]",2624.4232163061415,2278.8359131586726,1795.4475,0.00029944446737958577,0.013431732
64,12756,0," Oh god, get out!",0,anger,65,1.34,"[-451.8947448730469, 112.9430923461914, -28.895065307617188, 9.25595474243164, -4.541737079620361, -6.987776756286621, -6.84368371963501, 10.61982250213623, 3.5522541999816895, 0.37953808903694153, -1.213569164276123, 4.295691013336182, 5.592868328094482]",2939.96288818098,2514.5148946254067,1528.2317,0.001472808562120044,0.028864387
65,47368,0,i wonder what this is about,0,disgust,66,3.103125,"[-643.104736328125, 87.99048614501953, 21.01827621459961, 33.0972900390625, 24.66790771484375, 13.30207633972168, 5.155071258544922, -7.655346870422363, -2.9333252906799316, -2.2639570236206055, -4.467717170715332, -6.19338321685791, -10.946097373962402]",1409.1397219424832,1392.7347723621701,1286.3706,4.0246215831837266e-05,0.0038605172
66,5327,0,I don't like that word,0,disgust,67,1.31,"[-621.9827270507812, 124.00115203857422, -3.891659736633301, 26.643814086914062, 4.27816915512085, 15.48084831237793, 2.4785821437835693, 0.37641042470932007, 2.621062994003296, -1.8411520719528198, 7.9571428298950195, 4.251009941101074, -0.7356371879577637]",3185.6585499917237,3465.2081773407276,1373.1831,7.990174984288553e-05,0.006070005
67,49514,0,The surface is slick,0,disgust,68,3.036375,"[-602.9497680664062, 44.9552001953125, 46.485923767089844, 37.421791076660156, 19.2824649810791, 14.681450843811035, 6.298966407775879, 6.506375312805176, 1.1985657215118408, 0.21315203607082367, -1.4401061534881592, -2.7522480487823486, -3.902695894241333]",1792.0085537141645,1501.6702759911473,1307.615,7.369973602489653e-05,0.00477222
